id,content,title,category,source
1,Embedding Techniques content example 1. This explains key concepts of LLM in IR.,Embedding Techniques,LLM,Research Paper
2,Query Understanding content example 2. This explains key concepts of BM25 in IR.,Query Understanding,BM25,Online Tutorial
3,Information Retrieval Basics content example 3. This explains key concepts of IR Concepts in IR.,Information Retrieval Basics,IR Concepts,Lecture Notes
4,BM25 Overview content example 4. This explains key concepts of IR Concepts in IR.,BM25 Overview,IR Concepts,Online Tutorial
5,Semantic Search content example 5. This explains key concepts of BM25 in IR.,Semantic Search,BM25,Blog Article
6,Dense Embeddings content example 6. This explains key concepts of LLM in IR.,Dense Embeddings,LLM,Wikipedia
7,Information Retrieval Basics content example 7. This explains key concepts of Cross-Encoder in IR.,Information Retrieval Basics,Cross-Encoder,Online Tutorial
8,Cross-Encoder content example 8. This explains key concepts of Dense Retrieval in IR.,Cross-Encoder,Dense Retrieval,Blog Article
9,Vector Search content example 9. This explains key concepts of LLM in IR.,Vector Search,LLM,Research Paper
10,Embedding Techniques content example 10. This explains key concepts of Dense Retrieval in IR.,Embedding Techniques,Dense Retrieval,Blog Article
11,Document Ranking content example 11. This explains key concepts of Dense Retrieval in IR.,Document Ranking,Dense Retrieval,Online Tutorial
12,Document Ranking content example 12. This explains key concepts of LLM in IR.,Document Ranking,LLM,Blog Article
13,Document Ranking content example 13. This explains key concepts of Cross-Encoder in IR.,Document Ranking,Cross-Encoder,Online Tutorial
14,Semantic Search content example 14. This explains key concepts of LLM in IR.,Semantic Search,LLM,Research Paper
15,Document Ranking content example 15. This explains key concepts of Dense Retrieval in IR.,Document Ranking,Dense Retrieval,Research Paper
16,BM25 Overview content example 16. This explains key concepts of Cross-Encoder in IR.,BM25 Overview,Cross-Encoder,Online Tutorial
17,Embedding Techniques content example 17. This explains key concepts of Cross-Encoder in IR.,Embedding Techniques,Cross-Encoder,Wikipedia
18,Embedding Techniques content example 18. This explains key concepts of IR Concepts in IR.,Embedding Techniques,IR Concepts,Blog Article
19,Dense Embeddings content example 19. This explains key concepts of BM25 in IR.,Dense Embeddings,BM25,Wikipedia
20,Dense Embeddings content example 20. This explains key concepts of LLM in IR.,Dense Embeddings,LLM,Blog Article
21,Information Retrieval Basics content example 21. This explains key concepts of BM25 in IR.,Information Retrieval Basics,BM25,Research Paper
22,Information Retrieval Basics content example 22. This explains key concepts of Dense Retrieval in IR.,Information Retrieval Basics,Dense Retrieval,Wikipedia
23,Information Retrieval Basics content example 23. This explains key concepts of BM25 in IR.,Information Retrieval Basics,BM25,Online Tutorial
24,Information Retrieval Basics content example 24. This explains key concepts of LLM in IR.,Information Retrieval Basics,LLM,Research Paper
25,Information Retrieval Basics content example 25. This explains key concepts of BM25 in IR.,Information Retrieval Basics,BM25,Wikipedia
26,Semantic Search content example 26. This explains key concepts of Cross-Encoder in IR.,Semantic Search,Cross-Encoder,Wikipedia
27,Embedding Techniques content example 27. This explains key concepts of Dense Retrieval in IR.,Embedding Techniques,Dense Retrieval,Online Tutorial
28,BM25 Overview content example 28. This explains key concepts of Cross-Encoder in IR.,BM25 Overview,Cross-Encoder,Lecture Notes
